"HDI Rank (2015)","Country","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","58.8","50.9","50.9","34.3","34.3","35.7 eeee"
"75"," Albania","10.9","11.2","11.2","9.9","9.9","9.9 eeee"
"83"," Algeria","17.9","14.5","14.5","16.7","16.7","18.6 eeee"
"150"," Angola","53.7","46.1","46.1","46.2","46.2","46.2 eeee"
"62"," Antigua and Barbuda","","","","8.0","8.0","8.4 eeee"
"45"," Argentina","10.4","9.7","9.7","9.3","9.3","10.0 eeee"
"84"," Armenia","15.3","14.9","14.9","12.7","12.7","10.1 eeee"
"2"," Australia","4.7","4.7","4.7","4.2","4.2","4.3 eeee"
"24"," Austria","4.5","4.2","4.2","3.7","3.7","3.7 eeee"
"78"," Azerbaijan","23.8","20.6","20.6","21.7","21.7","21.7 eeee"
"58"," Bahamas","9.7","10.9","10.9","9.4","9.4","9.4 eeee"
"47"," Bahrain","8.1","6.2","6.2","6.3","6.3","6.3 eeee"
"139"," Bangladesh","25.3","23.2","23.2","20.1","20.1","20.1 eeee"
"54"," Barbados","7.9","9.2","9.2","8.1","8.1","7.8 eeee"
"52"," Belarus","8.8","7.4","7.4","6.8","6.8","5.8 eeee"
"22"," Belgium","4.6","4.4","4.4","3.9","3.9","4.0 eeee"
"103"," Belize","12.4","12.2","12.2","11.4","11.4","11.6 eeee"
"167"," Benin","39.7","40.3","40.3","37.0","37.0","37.0 eeee"
"132"," Bhutan","","24.1","24.1","22.2","22.2","20.7 eeee"
"118"," Bolivia (Plurinational State of)","27.2","25.1","25.1","24.5","24.5","29.0 eeee"
"81"," Bosnia and Herzegovina","9.2","9.6","9.6","6.7","6.7","6.7 eeee"
"108"," Botswana","25.9","24.3","24.3","21.9","21.9","20.9 eeee"
"79"," Brazil","16.6","14.4","14.4","14.5","14.5","14.4 eeee"
"30"," Brunei Darussalam","5.4","5.8","5.8","4.4","4.4","4.4 eeee"
"56"," Bulgaria","9.4","7.8","7.8","7.9","7.9","7.8 eeee"
"185"," Burkina Faso","44.5","41.7","41.7","41.1","41.1","37.1 eeee"
"184"," Burundi","47.8","45.6","45.6","43.6","43.6","40.8 eeee"
"122"," Cabo Verde","16.4","12.7","12.7","12.0","12.0","13.4 eeee"
"143"," Cambodia","33.4","28.8","28.8","25.3","25.3","19.7 eeee"
"153"," Cameroon","44.4","43.0","43.0","39.4","39.4","39.4 eeee"
"10"," Canada","5.0","5.0","5.0","4.6","4.6","4.7 eeee"
"188"," Central African Republic","49.8","46.0","46.0","45.7","45.7","45.7 eeee"
"186"," Chad","54.5","52.0","52.0","46.1","46.1","46.2 eeee"
"38"," Chile","6.9","6.6","6.6","5.9","5.9","7.6 eeee"
"90"," China","15.6","13.5","13.5","9.8","9.8","8.9 eeee"
"95"," Colombia","15.1","13.7","13.7","13.5","13.5","14.3 eeee"
"160"," Comoros","27.0","32.6","32.6","34.2","34.2","30.9 eeee"
"135"," Congo","41.9","37.0","37.0","36.0","36.0","31.1 eeee"
"176"," Democratic Republic of the Congo","52.9","50.0","50.0","49.9","49.9","39.1 eeee"
"66"," Costa Rica","8.3","7.8","7.8","7.3","7.3","8.2 eeee"
"45"," Croatia","6.0","5.5","5.5","5.2","5.2","4.5 eeee"
"68"," Cuba","","5.4","5.4","5.1","5.1","5.5 eeee"
"33"," Cyprus","5.1","4.1","4.1","3.7","3.7","4.0 eeee"
"28"," Czech Republic","4.3","3.9","3.9","3.7","3.7","3.5 eeee"
"171"," Cote d'Ivoire","40.5","37.8","37.8","40.2","40.2","39.7 eeee"
"5"," Denmark","4.8","4.4","4.4","4.0","4.0","3.8 eeee"
"172"," Djibouti","41.0","36.9","36.9","32.5","32.5","32.5 eeee"
"99"," Dominican Republic","18.9","16.0","16.0","16.9","16.9","16.8 eeee"
"89"," Ecuador","15.2","14.1","14.1","13.4","13.4","15.1 eeee"
"111"," Egypt","19.8","13.9","13.9","13.4","13.4","13.4 eeee"
"117"," El Salvador","16.5","15.2","15.2","14.5","14.5","13.7 eeee"
"135"," Equatorial Guinea","48.2","45.4","45.4","44.4","44.4","38.4 eeee"
"179"," Eritrea","","26.6","26.6","24.7","24.7","25.9 eeee"
"30"," Estonia","7.9","6.0","6.0","5.6","5.6","4.8 eeee"
"174"," Ethiopia","42.1","35.4","35.4","30.2","30.2","30.3 eeee"
"91"," Fiji","13.9","13.0","13.0","12.3","12.3","12.3 eeee"
"23"," Finland","4.0","3.9","3.9","3.5","3.5","3.4 eeee"
"21"," France","4.5","4.2","4.2","4.0","4.0","4.0 eeee"
"109"," Gabon","31.9","27.8","27.8","28.0","28.0","27.6 eeee"
"173"," Gambia","38.5","33.9","33.9","34.8","34.8","31.3 eeee"
"70"," Georgia","19.0","15.1","15.1","12.9","12.9","10.3 eeee"
"4"," Germany","4.4","4.0","4.0","3.7","3.7","3.7 eeee"
"139"," Ghana","39.7","27.5","27.5","30.8","30.8","30.8 eeee"
"29"," Greece","4.0","4.8","4.8","4.0","4.0","3.7 eeee"
"79"," Grenada","","9.6","9.6","8.4","8.4","8.7 eeee"
"125"," Guatemala","20.4","18.6","18.6","17.4","17.4","17.0 eeee"
"183"," Guinea","44.5","42.7","42.7","40.3","40.3","35.4 eeee"
"178"," Guinea-Bissau","52.5","50.1","50.1","45.3","45.3","44.6 eeee"
"127"," Guyana","25.2","21.7","21.7","19.2","19.2","20.7 eeee"
"163"," Haiti","32.9","30.9","30.9","27.9","27.9","30.9 eeee"
"130"," Honduras","19.7","17.4","17.4","17.0","17.0","19.6 eeee"
"12"," Hong Kong, China (SAR)","4.1","2.9","2.9","2.8","2.8","2.8 eeee"
"43"," Hungary","6.6","5.7","5.7","5.4","5.4","5.2 eeee"
"9"," Iceland","3.5","3.0","3.0","2.8","2.8","2.9 eeee"
"131"," India","31.3","27.1","27.1","25.0","25.0","24.0 eeee"
"113"," Indonesia","16.8","16.8","16.8","16.4","16.4","16.5 eeee"
"69"," Iran (Islamic Republic of)","17.3","16.1","16.1","12.5","12.5","10.6 eeee"
"121"," Iraq","","20.3","20.3","17.6","17.6","19.3 eeee"
"8"," Ireland","4.6","4.3","4.3","3.7","3.7","3.7 eeee"
"19"," Israel","4.8","3.9","3.9","3.8","3.8","3.9 eeee"
"26"," Italy","4.3","3.9","3.9","3.4","3.4","3.0 eeee"
"94"," Jamaica","16.7","15.3","15.3","15.0","15.0","11.9 eeee"
"17"," Japan","3.9","3.5","3.5","3.2","3.2","3.2 eeee"
"86"," Jordan","13.3","13.1","13.1","11.9","11.9","11.9 eeee"
"56"," Kazakhstan","17.2","16.2","16.2","16.7","16.7","11.6 eeee"
"146"," Kenya","37.2","34.1","34.1","31.5","31.5","32.1 eeee"
"137"," Kiribati","","","","20.6","20.6","26.1 eeee"
"0"," Korea (Democratic People's Rep. of)","","16.9","","15.4","15.4","15.4 eeee"
"18"," Korea (Republic of)","4.8","4.3","4.3","3.9","3.9","3.7 eeee"
"51"," Kuwait","7.3","6.7","6.7","7.2","7.2","7.2 eeee"
"120"," Kyrgyzstan","21.6","19.8","19.8","20.0","20.0","13.6 eeee"
"138"," Lao People's Democratic Republic","27.6","21.7","21.7","21.5","21.5","26.2 eeee"
"44"," Latvia","8.5","7.1","7.1","7.6","7.6","6.7 eeee"
"76"," Lebanon","","13.5","13.5","6.7","6.7","7.2 eeee"
"160"," Lesotho","36.6","34.3","34.3","33.5","33.5","33.5 eeee"
"177"," Liberia","43.3","37.6","37.6","33.1","33.1","33.1 eeee"
"102"," Libya","12.1","9.7","9.7","10.1","10.1","15.8 eeee"
"37"," Lithuania","8.8","7.2","7.2","6.6","6.6","5.5 eeee"
"20"," Luxembourg","4.8","3.5","3.5","3.3","3.3","2.6 eeee"
"158"," Madagascar","36.4","25.6","25.6","24.8","24.8","24.8 eeee"
"170"," Malawi","40.3","39.9","39.9","40.0","40.0","32.7 eeee"
"59"," Malaysia","8.0","6.7","6.7","4.9","4.9","6.7 eeee"
"105"," Maldives","15.5","7.3","7.3","8.1","8.1","7.1 eeee"
"175"," Mali","50.1","46.3","46.3","45.6","45.6","40.4 eeee"
"33"," Malta","5.6","5.1","5.1","4.8","4.8","4.5 eeee"
"157"," Mauritania","38.9","36.2","36.2","36.6","36.6","33.7 eeee"
"64"," Mauritius","11.4","9.8","9.8","9.2","9.2","9.8 eeee"
"77"," Mexico","12.3","10.9","10.9","10.9","10.9","13.2 eeee"
"127"," Micronesia (Federated States of)","20.5","19.2","19.2","19.8","19.8","19.8 eeee"
"107"," Moldova (Republic of)","13.1","11.2","11.2","11.0","11.0","9.0 eeee"
"92"," Mongolia","22.6","18.8","18.8","16.6","16.6","17.1 eeee"
"48"," Montenegro","7.3","6.8","6.8","7.6","7.6","5.2 eeee"
"123"," Morocco","18.3","16.7","16.7","16.8","16.8","16.0 eeee"
"181"," Mozambique","45.7","40.8","40.8","40.2","40.2","36.4 eeee"
"145"," Myanmar","38.2","25.3","25.3","27.1","27.1","26.0 eeee"
"125"," Namibia","24.5","21.1","21.1","21.7","21.7","21.7 eeee"
"144"," Nepal","24.3","19.5","19.5","21.1","21.1","19.6 eeee"
"7"," Netherlands","4.6","4.3","4.3","3.9","3.9","3.7 eeee"
"13"," New Zealand","5.0","5.2","5.2","4.8","4.8","4.6 eeee"
"124"," Nicaragua","15.6","13.9","13.9","13.2","13.2","14.6 eeee"
"187"," Niger","46.8","42.6","42.6","37.9","37.9","35.3 eeee"
"152"," Nigeria","51.1","43.8","43.8","40.8","40.8","40.8 eeee"
"1"," Norway","4.0","3.7","3.7","3.4","3.4","3.3 eeee"
"52"," Oman","","7.2","7.2","7.0","7.0","7.0 eeee"
"147"," Pakistan","32.9","32.3","32.3","29.9","29.9","32.8 eeee"
"114"," Palestine, State of","","13.1","13.1","13.1","13.1","13.7 eeee"
"60"," Panama","13.6","12.4","12.4","12.1","12.1","11.5 eeee"
"154"," Papua New Guinea","28.5","25.2","25.2","26.5","26.5","26.5 eeee"
"110"," Paraguay","19.9","17.8","17.8","19.2","19.2","18.3 eeee"
"87"," Peru","16.5","14.8","14.8","13.9","13.9","14.2 eeee"
"116"," Philippines","15.0","15.2","15.2","15.2","15.2","16.2 eeee"
"36"," Poland","6.4","5.8","5.8","5.7","5.7","5.2 eeee"
"41"," Portugal","4.8","4.9","4.9","3.9","3.9","3.9 eeee"
"33"," Qatar","7.4","7.2","7.2","6.0","6.0","6.1 eeee"
"50"," Romania","10.9","9.6","9.6","8.8","8.8","8.4 eeee"
"49"," Russian Federation","11.5","10.8","10.8","9.8","9.8","8.8 eeee"
"159"," Rwanda","47.4","41.3","41.3","30.2","30.2","29.8 eeee"
"92"," Saint Lucia","","10.4","10.4","9.9","9.9","10.1 eeee"
"99"," Saint Vincent and the Grenadines","","14.0","14.0","12.9","13.0","12.7 eeee"
"104"," Samoa","","13.4","13.4","13.3","13.3","13.3 eeee"
"142"," Sao Tome and Principe","34.4","28.8","28.8","26.9","26.9","26.9 eeee"
"38"," Saudi Arabia","12.7","11.5","11.5","8.7","8.7","11.0 eeee"
"162"," Senegal","37.4","30.7","30.7","29.5","29.5","25.0 eeee"
"66"," Serbia","9.0","8.3","8.3","8.5","8.5","7.9 eeee"
"63"," Seychelles","","","","7.9","7.9","9.0 eeee"
"179"," Sierra Leone","44.5","45.3","45.3","51.2","51.2","43.4 eeee"
"5"," Singapore","3.8","2.9","2.9","2.8","2.8","3.0 eeee"
"40"," Slovakia","6.5","5.7","5.7","5.6","5.6","5.3 eeee"
"25"," Slovenia","4.3","4.1","4.1","3.8","3.8","3.6 eeee"
"156"," Solomon Islands","25.2","20.7","20.7","22.3","22.3","22.3 eeee"
"0"," Somalia","","47.1","","42.1","42.1","42.1 eeee"
"119"," South Africa","30.2","28.4","28.4","25.7","25.7","25.7 eeee"
"181"," South Sudan","","","","40.8","40.8","40.7 eeee"
"27"," Spain","4.4","4.1","4.1","3.9","3.9","3.5 eeee"
"73"," Sri Lanka","12.3","9.4","9.4","8.3","8.3","8.1 eeee"
"165"," Sudan","38.5","33.0","33.0","32.8","32.8","31.8 eeee"
"97"," Suriname","16.7","15.0","15.0","13.6","13.6","13.6 eeee"
"148"," Swaziland","36.4","35.0","35.0","35.0","35.0","35.0 eeee"
"14"," Sweden","3.7","3.3","3.3","3.1","3.1","3.3 eeee"
"2"," Switzerland","4.4","4.1","4.1","3.9","3.9","3.8 eeee"
"149"," Syrian Arab Republic","11.1","10.0","10.0","12.6","12.6","14.5 eeee"
"129"," Tajikistan","31.0","27.2","27.2","29.3","29.3","23.2 eeee"
"151"," United Republic of Tanzania","37.5","32.4","32.4","30.4","30.4","25.0 eeee"
"87"," Thailand","9.5","10.1","10.1","9.8","9.8","10.4 eeee"
"82"," The former Yugoslav Republic of Macedonia","10.4","9.4","9.4","7.6","7.6","7.6 eeee"
"133"," Timor-Leste","34.3","30.2","30.2","22.8","22.8","24.4 eeee"
"166"," Togo","35.4","37.2","37.2","36.8","36.8","32.4 eeee"
"101"," Tonga","14.5","13.8","13.8","13.7","13.7","13.6 eeee"
"65"," Trinidad and Tobago","17.4","16.6","16.6","16.4","16.4","16.6 eeee"
"97"," Tunisia","12.7","12.6","12.6","10.6","10.6","12.2 eeee"
"71"," Turkey","16.5","12.8","12.8","11.0","11.0","11.5 eeee"
"111"," Turkmenistan","27.5","26.7","26.7","26.0","26.0","26.0 eeee"
"163"," Uganda","40.7","39.1","39.1","33.8","33.8","35.7 eeee"
"84"," Ukraine","11.0","10.5","10.5","10.4","10.4","8.7 eeee"
"42"," United Arab Emirates","7.4","6.3","6.3","5.5","5.5","5.8 eeee"
"16"," United Kingdom","4.9","4.8","4.8","4.5","4.5","4.5 eeee"
"10"," United States","6.0","6.6","6.6","6.2","6.2","6.1 eeee"
"54"," Uruguay","10.1","9.3","9.3","9.2","9.2","9.5 eeee"
"105"," Uzbekistan","25.9","24.3","24.3","24.3","24.3","24.3 eeee"
"134"," Vanuatu","","15.6","15.6","15.4","15.4","15.4 eeee"
"71"," Venezuela (Bolivarian Republic of)","13.3","12.2","12.2","12.2","12.2","11.4 eeee"
"115"," Viet Nam","13.8","13.4","13.4","12.1","12.1","14.2 eeee"
"168"," Yemen","31.2","25.1","25.1","30.3","30.3","29.4 eeee"
"139"," Zambia","46.5","41.9","41.9","37.2","37.2","33.8 eeee"
"154"," Zimbabwe","34.2","30.6","30.6","26.8","26.8","31.2 eeee"
"eeee: Calculated by HDRO from the 2010-2015 period life tables from UNDESA (2015)."